BRAND	SOURCE (spring/municipal supply)	TOWN/COUNTY	STATE	latitude	longitude	SOURCE
ARROWHEAD	Southern Pacific Springs	Riverside County	CA	33.953297	-117.396119	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Arrowhead Springs	San Bernardino County	CA	34.186015	-117.265106	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Long Point Ranch Springs	Running Springs 	CA	34.207786	-117.109205	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Palomar Mountain Granite Springs	Palomar	CA	36.778261	-119.417932	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Deer Canyon Springs	San Bernardino County	CA	34.959208	-116.419389	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Coyote Springs	Inyo County	CA	36.785765	-118.059256	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	White Meadow Spring	El Dorado County	CA	38.784025	-120.497683	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Lukens Springs	Placer County	CA	39.091575	-120.803947	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Sopiago Springs	El Dorado County	CA	38.742638	-120.435763	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Sugar Pine Springs	Tuolumne County	CA	38.029655	-119.974053	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Arcadia Springs	Napa County	CA	38.502469	-122.265389	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Hope Springs	Hope 	BC	49.385833	-121.441944	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
ARROWHEAD	Ruby Springs	Chaffee County 	CO	38.753668	-106.252214	http://www.nestle-watersna.com/asset-library/documents/ar_eng.pdf
DEER PARK	Frontier Springs	New Tipoli	PA	41.203322	-77.194525	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK		Bangor	PA	40.865652	-75.206568	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK		Stroudsburg	PA	40.986761	-75.194625	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK		Hegins	PA	40.651514	-76.497721	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK		South Conventry	PA	40.17586	-75.67899	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK		Pine Grove	PA	40.548423	-76.384678	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK		Newmanstown	PA	40.349537	-76.213282	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK		Oakland	MD	39.407875	-79.406712	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK	Spring of Life	Lake County	FL	28.702847	-81.778702	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK	Cypress Spring	Washington Cty	FL	30.65782	-85.69236	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK	Crystal Springs	Pasco County	FL	28.181401	-82.157584	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK	White Springs	Liberty County	FL	30.420196	-84.915193	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK	Blue Springs	Madison COunty	FL	30.483546	-83.249865	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK	Glebwood Spring	St. Albans	ME	44.910061	-69.410048	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
DEER PARK	Sweetwater Falls	Hohenwald	TN	35.547851	-87.551963	http://www.nestle-watersna.com/asset-library/documents/dp_eng.pdf
ICE MOUNTAIN BRAND	Sanctuary Spring	Rodney	MI	43.672717	-85.329689	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
ICE MOUNTAIN BRAND	Evart Springs	Evart	MI	43.900575	-85.258097	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
ICE MOUNTAIN BRAND	Frontier Springs	New Tripoli	PA	40.681007	-75.752039	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
ICE MOUNTAIN BRAND		Bangor	PA	40.865652	-75.206568	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
ICE MOUNTAIN BRAND		Hegins	PA	40.651514	-76.497721	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
ICE MOUNTAIN BRAND		South Coventry	PA	40.17586	-75.67899	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
ICE MOUNTAIN BRAND		Pine Grove	PA	40.548423	-76.384678	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
ICE MOUNTAIN BRAND		Stroudsburg	PA	40.986761	-75.194625	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
ICE MOUNTAIN BRAND		Oakland	MD	39.407875	-79.406712	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
ICE MOUNTAIN BRAND	Glenwood Spring	St Albans 	ME	44.910061	-69.410048	http://www.nestle-watersna.com/asset-library/documents/im_bwqr.pdf
